topic_id,words
0,"['beam', 'neutrino', 'neutron', 'ray', 'electron', 'light', 'cosmic', 'photon', 'neutrinos', 'beams']"
1,"['experiment', 'physics', 'measurements', 'experiments', 'simulation', 'experimental', 'test', 'simulations', 'astrophysics', 'calculations']"
2,"['heavy', 'dark', 'double', 'single', 'wave', 'black', 'charged', 'rich', 'band', 'investigation']"
3,"['nuclear', 'non', 'flavor', 'violation', 'effect', 'charge', 'flavour', 'momentum', 'determination', 'strong']"
4,"['decay', 'gamma', 'radiation', 'star', 'beta', 'stars', 'cavity', 'rays', 'tau', 'shell']"
5,"['cross', 'state', 'jet', 'space', 'large', 'facility', 'section', 'fast', 'bar', 'small']"
6,"['reaction', 'reactions', 'laser', 'fission', 'fusion', 'trigger', 'process', 'vacuum', 'processes', 'transfer']"
7,"['atlas', 'proceedings', 'searches', 'parton', 'lambda', 'tracker', 'acquisition', 'cbm', 'diagnostics', 'sigma']"
8,"['search', 'mass', 'properties', 'exotic', 'form', 'charm', 'channel', 'like', 'cluster', 'masses']"
9,"['energy', 'production', 'induced', 'relativistic', 'energies', 'distribution', 'emission', 'density', 'plasma', 'flow']"
10,"['results', 'performance', 'overview', 'event', 'learning', 'luminosity', 'events', 'workshop', 'perspectives', 'highlights']"
11,"['high', 'collisions', 'low', 'detection', 'temperature', 'scale', 'acceleration', 'higher', 'rate', 'frequency']"
12,"['parc', 'linac', 'readout', 'srf', 'ell', 'fel', 'nica', 'injector', 'beamline', 'daq']"
13,"['model', 'status', 'models', 'applications', 'standard', 'application', 'functions', 'distributions', 'computing', 'framework']"
14,"['detector', 'scattering', 'detectors', 'pixel', 'optical', 'electromagnetic', 'calorimeter', 'transverse', 'silicon', 'array']"
15,"['matter', 'qcd', 'theory', 'effects', 'gravity', 'interactions', 'interaction', 'gravitational', 'particles', 'evolution']"
16,"['lhc', 'cms', 'muon', 'hadron', 'accelerator', 'cern', 'telescope', 'collider', 'commissioning', 'rhic']"
17,"['ion', 'proton', 'quark', 'particle', 'decays', 'higgs', 'tev', 'boson', 'meson', 'nucleon']"
18,"['new', 'development', 'recent', 'phase', 'upgrade', 'future', 'multi', 'project', 'prospects', 'generation']"
19,"['using', 'alice', 'method', 'run', 'belle', 'prototype', 'pair', 'tracking', 'machine', 'astrophysical']"
20,"['study', 'data', 'based', 'design', 'studies', 'analysis', 'structure', 'systems', 'approach', 'international']"
21,"['field', 'magnetic', 'spin', 'superconducting', 'chiral', 'ring', 'scalar', 'fields', 'loop', 'coupling']"
22,"['time', 'states', 'control', 'source', 'power', 'current', 'level', 'direct', 'effective', 'sources']"
23,"['nuclei', 'hadronic', 'nucleus', 'correlations', 'isotopes', 'resonances', 'rare', 'sterile', 'colliders', 'neutrons']"
24,"['quantum', 'measurement', 'lattice', 'dynamics', 'precision', 'symmetry', 'gauge', 'equation', 'vector', 'finite']"
